Variable,Min,Median,Max
initial_nitrogen_content,0.0075,0.015,0.0225
initial_moisture_content,0.4,0.8,1.2
total_solids_content,0.1,0.2,0.3
volatile_solids_fraction,0.35,0.7,1.05
nitrogen_retention_fraction,0.45,0.9,1.35
organic_degradation_fraction,0.2,0.4,0.6
nitrogen_loss_drying_fraction,0.05,0.1,0.15
distance_WWTP_to_drying,25,50,75
distance_drying_to_farm,50,100,150
transport_nitrogen_loss_fraction,0.00005,0.0001,0.00015
truck_carrying_capacity,12500,25000,37500
glass_recycling_ratio,0.45,0.9,1.35
glass_transport_distance,50,100,150
plant_available_nitrogen_fraction,0.35,0.7,1.05
target_moisture_content,0.05,0.1,0.15
facility_capacity,11500,23000,34500
solar_capacity_factor,0.25,0.5,0.75
csp_module_thermal_capacity,0.5,1,1.5
latent_heat_vaporization,1130,2260,3390
diesel_transport_consumption_per_km_ton,0.15,0.3,0.45
diesel_loading_energy_consumption_per_ton,0.25,0.5,0.75
